Fund Name,Verified,Logo URL,Local Logo Path,LinkedIn,Website,Who we are,Value add,Firm type,Global HQ,Branch office #1,Branch office #2,Branch office #3,Branch office #4,Branch office #5,Funding requirements,Funding stages,Lead,Check Size Min,Check Size Max,Check size,Target countries,Team,Source Page,Profile URL,Twitter,Who I am,Application periodicity,Typical terms,Time to money,Typical fee
Hyde Park Venture Partners,TRUE,./images/funds/recW8SCgJ6X00I8AR.jpg,logos/Hyde_Park_Venture_Partners.jpg,https://www.linkedin.com/company/hyde-park-venture-partners/,https://hydeparkvp.com/,,,VC,"415 N LaSalle St, Chicago, Illinois 60654, USA

+
−
Leaflet",,,,,,"We invest in B2B SaaS, marketplaces, tech-enabled services, and B2C software based in the US Midwest, Toronto, and Atlanta from idea stage through $2M+ in ARR.",1. Idea or Patent; 2. Prototype; 3. Early Revenue; 4. Scaling,,250000,3000000,$250k to $3M,USA,,536,fund/Hyde%20Park%20Venture%20Partners,,,,,,
Target Global,TRUE,./images/funds/recyfgtQ1GVBJaW39.jpg,logos/Target_Global.jpg,https://www.linkedin.com/company/target-global/,https://www.targetglobal.vc/,,,VC,"Schinkelpl. 5, 10117 Berlin, Germany

+
−
Leaflet",,,,,,"We invest in fintech, healthtech, consumer-enabled SaaS, mobility, and edtech.

Target Global is a leading technology investment firm. We nurture innovative companies into global success stories, providing investment, strategic advice, and practical support from concept through to exit. Founded in 2012 and with offices across many of the most exciting tech hubs in Europe, we make investments across the fintech, healthtech, consumer-enabled SaaS, mobility, and edtech sectors.",3. Early Revenue; 2. Prototype; 4. Scaling; 1. Idea or Patent; 5. Growth; 6. Pre-IPO,,250000,50000000,$250k to $50M,Germany; France; Netherlands; UK; Spain; Austria; Israel; Luxembourg; Portugal; Switzerland,Felix Turrell (Other),536,fund/Target%20Global,,,,,,
Science Park,FALSE,./images/funds/rectfE0E5FcbLeQPT.jpg,logos/Science_Park.jpg,https://www.linkedin.com/company/science-park-jonkoping,https://sciencepark.se/,We offer support to innovators and entrepreneurs.,,VC,"Gjuterigatan 9, Jönköping, SE

+
−
Leaflet",,,,,,We invest in ambitious ideas with significant potential.,3. Early Revenue,,,,,Sweden,,536,fund/Science%20Park,,,,,,
Iporanga Ventures,TRUE,./images/funds/rec7px5cM61JgtpM3.jpg,logos/Iporanga_Ventures.jpg,https://www.linkedin.com/company/iporanga-ventures,https://ipo.ventures/,,,VC,"Rua Horacio Lafer 160 cj 52, CEP 04538-080, São Paulo/SP, Brazil

+
−
Leaflet",,,,,,We invest in Brazilian pre-seed/seed stage startups developing sound products/solutions backed by superior technology teams.,1. Idea or Patent; 2. Prototype; 3. Early Revenue,,150000,1000000,$150k to $1M,Brazil,,536,fund/Iporanga%20Ventures,,,,,,
AJ Ventures,FALSE,./images/funds/recxN9d8KA8YLBiLm.jpg,logos/AJ_Ventures.jpg,https://www.linkedin.com/company/a-j-ventures,http://ajventures.co/,,,VC,"A.J. Ventures LLC, 94028 Portola Valley, Ca, US

+
−
Leaflet",,,,,,We invest in consumer and finance.,3. Early Revenue,,,,,India,,536,fund/AJ%20Ventures,,,,,,
Cardworks,FALSE,./images/funds/recIzyHNsR0IZamoP.jpg,logos/Cardworks.jpg,https://www.linkedin.com/company/cardworks,http://www.cardworks.com,We are a service provider offering extensive assistance and backing to organizations issuing bankcards.,,VC,"101 Crossways Park Dr W, 11797 Woodbury, New York, New York, US

+
−
Leaflet",,,,,,We invest in banking and payment service providers.,4. Scaling,,,,,USA,,536,fund/Cardworks,,,,,,
Mount Row,FALSE,./images/funds/recQNohbhV0ZUWeHi.jpg,logos/Mount_Row.jpg,https://www.linkedin.com/company/mount-row-capital-partners,https://mount-row.com,We are a global investment firm and alternative asset manager overseeing significant capital.,,PE fund,"Singapore, SG",,,,,,We invest in a diverse range of assets globally.,2. Prototype,,,,,Singapore,,537,fund/Mount%20Row,,,,,,
Swiss Founders Fund,TRUE,./images/funds/reca4LjKp9vulB0vg.jpg,logos/Swiss_Founders_Fund.jpg,https://www.linkedin.com/company/swiss-founders-fund-ag/,https://sff.vc,,,VC,"Schuetzengasse 7, 9000 St.Gallen, Switzerland

+
−
Leaflet",,,,,,"We invest in seed & early-stage tech startups with a focus on PropTech, Hospitality, Exponential Technologies & DLT.",3. Early Revenue; 2. Prototype; 1. Idea or Patent,,25000,250000,$25k to $250k,Switzerland; Germany; Austria; Netherlands; France; Liechtenstein; Belgium; Denmark; Estonia; Finland; Iceland; Ireland; Italy; Luxembourg; Norway; Spain; Sweden; USA; UK; Canada; Singapore; Thailand; Malaysia; India,#NAME?,537,fund/Swiss%20Founders%20Fund,,,,,,
CreedCap,TRUE,./images/funds/reciN9EYaRBXIJVwC.jpg,logos/CreedCap.jpg,https://www.linkedin.com/company/creedcap/,https://www.creedcapasia.com/,,,Family office,Bangalore,,,,,,"We invest in Consumer , SaaS, CleanTech, HealthTech",3. Early Revenue; 4. Scaling,,200000,1500000,$200k to $1.5M,India; USA; UAE; Singapore,,537,fund/CreedCap,,,,,,
LVenture Group,TRUE,./images/funds/recWX36jx0aZdfHM3.jpg,logos/LVenture_Group.jpg,https://www.linkedin.com/company/lventure-group/,https://www.lventuregroup.com/,,,VC,"Via Marsala 29H | 00185 Roma Italia

+
−
Leaflet",,,,,,"We invest in digital startups and accelerate their development process, from prototype development to market placement.",2. Prototype; 3. Early Revenue; 4. Scaling,,150000,300000,$150k to $300k,Italy,Pietro Brunelli (Analyst),537,fund/LVenture%20Group,,,,,,
MSP Sports Capital,FALSE,./images/funds/recENNIePffFWdIkR.jpg,logos/MSP_Sports_Capital.jpg,https://www.linkedin.com/company/msp-sports-capital,http://mspsportscapital.com/,We are an operationally-focused private investment manager dedicated to strategic investments in the sports sector.,,PE fund,"New York, New York, United States",,,,,,We invest in tactical opportunities within the sports industry.,3. Early Revenue,,,,,Germany; UK; USA,,537,fund/MSP%20Sports%20Capital,,,,,,
Nimbus,FALSE,./images/funds/recYbBzy9y0FMl0zE.jpg,logos/Nimbus.jpg,https://www.linkedin.com/company/nimbus-hands-on-investors,http://www.nimbus.com,"We contribute to product development, production methods, and efficiency.",,PE fund,"Driebergseweg 17, 3708 JA Zeist, Utrecht, NL

+
−
Leaflet",,,,,,"We invest in industrial, IoT, manufacturing.",3. Early Revenue,,,,,Netherlands,,537,fund/Nimbus,,,,,,
SEB Greentech Venture Capital,FALSE,./images/funds/recHRgk9UXSwGuvhW.jpg,logos/SEB_Greentech_Venture_Capital.jpg,https://www.linkedin.com/company/seb,https://sebgroup.com/our-offering/financing-and-investment-banking/greentech,,,VC,"Kungsträdgårdsgatan 8, 10640 Stockholm, Stockholm, SE

+
−
Leaflet",,,,,,"We invest in greentech, focusing on pioneering concepts.",4. Scaling,,,,,Germany; Netherlands,,537,fund/SEB%20Greentech%20Venture%20Capital,,,,,,
Scottish Health Innovations,FALSE,./images/funds/reco2fDXHkIsVwr1D.jpg,logos/Scottish_Health_Innovations.jpg,https://www.linkedin.com/company/scottish-health-innovations-ltd,http://www.shil.co.uk/,We are an organization partnering with NHS Scotland to develop new advancements.,,"Incubator, Accelerator","Dundee, Dundee City, United Kingdom",,,,,,We invest in healthcare innovations.,3. Early Revenue,,,,,UK,,537,fund/Scottish%20Health%20Innovations,,,,,,
APPYHIGH,FALSE,./images/funds/recJ7BXsizOdwk6Bx.jpg,logos/APPYHIGH.jpg,https://www.linkedin.com/company/appyhigh/,https://www.appyhigh.com/,We focus on solutions that enhance interaction and capability.,,Corporate VC,"122022 Gurgaon, Delhi, IN

+
−
Leaflet",,,,,,"We invest in and create technology that informs, engages, and empowers users.",3. Early Revenue,,,,,India,,537,fund/APPYHIGH,,,,,,
Aephoria.net,FALSE,./images/funds/rec2lbMsrjPwkRSgB.jpg,logos/Aephorianet.jpg,https://www.linkedin.com/company/aephoria-net/,http://www.aephoria.net/,We are an organization offering education and incubation support to startup companies in Greece.,,"Incubator, Accelerator","Leoforos Dimokratis 67, 13122 Ilion, Athens, GR

+
−
Leaflet",,,,,,We invest in sustainable business education and incubation programs for startups.,3. Early Revenue,,,,,India,,537,fund/Aephoria.net,,,,,,
G-FUND,FALSE,./images/funds/recTYbzH6aUrATaQk.jpg,logos/GFUND.jpg,https://www.linkedin.com/company/generations-fund,https://gfund.vc/,We are a venture capital firm.,,VC,"Munich, DE",,,,,,We invest in early-stage consumer technology companies.,3. Early Revenue,,,,,Germany,,537,fund/G-FUND,,,,,,
Steamwork Ventures,TRUE,./images/funds/reclv6OoOyOYPnyBz.jpg,logos/Steamwork_Ventures.jpg,https://www.linkedin.com/company/steamworkvc/,https://steamwork.vc,,,VC,"Los Angeles, CA",,,,,,"We invest in US-based software/AI companies that impact wealth, health, or climate, with early traction and experienced teams. Prefer LA/SoCal nexus.",3. Early Revenue; 4. Scaling,,50000,750000,$50k to $750k,USA,Tatiana Mulry (GP/MD),537,fund/Steamwork%20Ventures,,,,,,
InvestMill,FALSE,./images/funds/recKv0BYL3kjv3jC4.jpg,logos/InvestMill.jpg,https://linkedin.com/company/investmill,https://www.investmill.co/,,,VC,London,,,,,,"We invest in founders with crazy and unique ideas in games, saas, no code, immersive tech and fashion.",1. Idea or Patent; 2. Prototype; 3. Early Revenue,,5000,50000,$5k to $50k,UK; Belgium; France; USA; Germany,,537,fund/InvestMill,,,,,,
RYZ Labs,FALSE,./images/funds/recAcDFRShq1dvnnc.jpg,logos/RYZ_Labs.jpg,https://www.linkedin.com/company/ryzlabs/,https://ryzlabs.com/,,,VC,"California, US",,,,,,We invest in emerging companies.,2. Prototype,,,,,USA,,537,fund/RYZ%20Labs,,,,,,
Cathay AfricInvest Innovation,TRUE,./images/funds/reci0QxyjhRL6mygC.jpg,logos/Cathay_AfricInvest_Innovation.jpg,https://www.linkedin.com/company/africinvestgrp/,https://cathayinnovation.com/fund/cathay-africinvest-innovation/,"The Cathay Africinvest Innovation Fund is the first Pan-African Venture Fund created to connect the continent and the world’s leading innovation ecosystems. With the combination of socio-economic gaps and innovation drivers, startups have an opportunity to fuel a technological leapfrog that can improve over 1 billion lives across Africa. We want to fuel this transition by creating and connecting new digital infrastructures and services that will boost the economy to the next level.

The fund is operated by the Africinvest team, through a common management company, with the value-added global support of Cathay Innovation.",,VC,"1101, 11th floor, The Core, No 62, ICT Avenue, Cybercity, Ebene, Mauritius

+
−
Leaflet",,,,,,"We invest in early to growth-stage startups based in or focused on Africa that are ready to scale and make a significant impact with innovative and inclusive solutions.

We back mission-driven teams with a particular focus on logistics, e-commerce, edtech, fintech, mobility, healthtech, energy and agtech.

Our initial check sizes range from $1 – $10M for growth-stage or select seed-stage tickets up to $1M.",4. Scaling; 5. Growth; 3. Early Revenue,,1000000,10000000,$1M to $10M,South Africa; Nigeria; Tunisia; Egypt; Kenya; Morocco; Algeria; Côte d'Ivoire,,537,fund/Cathay%20AfricInvest%20Innovation,,,,,,
Vertex Ventures US,TRUE,./images/funds/recOeUQRjurWd3EvT.jpg,logos/Vertex_Ventures_US.jpg,https://www.linkedin.com/company/vertex-ventures/,https://www.vertexventures.com/,,,VC,"345 California Avenue, Palo Alto, California 94306, US

+
−
Leaflet",,,,,,We invest in founders building b2b businesses and are looking for a partner to help them turn great products into a great companies.,3. Early Revenue; 2. Prototype,,1000000,10000000,$1M to $10M,USA,,537,fund/Vertex%20Ventures%20US,,,,,,
Dutch Student Investment Fund,FALSE,./images/funds/recec15qNy7Muv3F6.jpg,logos/Dutch_Student_Investment_Fund.jpg,https://www.linkedin.com/company/dsif,https://dsif.nl,We are a student-led venture capital fund.,,VC,"Drienerlolaan 5, 7522 NB Enschede, Overijssel, Overijssel, NL

+
−
Leaflet",,,,,,We invest in promising ventures.,2. Prototype,,,,,Netherlands,,537,fund/Dutch%20Student%20Investment%20Fund,,,,,,
Glisco Partners,FALSE,./images/funds/recJ8BBSs0rgcNPMD.jpg,logos/Glisco_Partners.jpg,https://www.linkedin.com/company/glisco-partners,https://gliscopartners.com/,We are a private equity firm.,,PE fund,"Mexico City, MX",,,,,,"We invest in the Mexican market, executing high-quality transactions.",4. Scaling; 5. Growth,,,,,Colombia; Mexico; Spain,,538,fund/Glisco%20Partners,,,,,,
DeepSky Capital,FALSE,./images/funds/reciShUJfmXHZiUQq.jpg,logos/DeepSky_Capital.jpg,https://www.linkedin.com/company/deep-sky-capital/,http://www.deepskycapital.com,We provide advisory services in capital markets.,,Family office,"Aon China Building, Hong Knog, HK",,,,,,"We invest as a family investment vehicle and private capital markets investor, with a focus on fintech.",4. Scaling,,,,,Singapore,,538,fund/DeepSky%20Capital,,,,,,
Parkview Capital Partners,FALSE,./images/funds/rec46VaKBRerXZbXC.jpg,logos/Parkview_Capital_Partners.jpg,https://www.linkedin.com/company/parkview-capital-partners-inc.,http://www.parkviewcapital.com/,We are a private equity firm specializing in various forms of corporate restructuring.,,PE fund,"Toronto, Ontario, Canada",,,,,,"We invest in companies through buyouts, acquisitions, and industry consolidations.",3. Early Revenue,,,,,Canada,,538,fund/Parkview%20Capital%20Partners,,,,,,
NextGen Venture Partners,TRUE,./images/funds/recSftKHgIcmjzwD2.jpg,logos/NextGen_Venture_Partners.jpg,https://www.linkedin.com/company/nextgen-venture-partners,https://nextgenvp.com/,,,VC,"901 S Bond St, Baltimore, Maryland 21231, US

+
−
Leaflet",,,,,,"We invest in US-based technology companies. Our primary focus is enterprise software, healthcare IT and financial technologies.",3. Early Revenue,,500000,2500000,$500k to $2.5M,USA; Canada,,538,fund/NextGen%20Venture%20Partners,,,,,,
Madrona Venture Group,TRUE,./images/funds/recR4sTzAU4LTBC8I.jpg,logos/Madrona_Venture_Group.jpg,https://www.linkedin.com/company/madrona-venture-group/,https://www.madrona.com/,,,VC,"999 3rd Avenue, Suite 3400, Seattle, WA 98104, US

+
−
Leaflet",,,,,,"We invest in seed and early-stage technology companies in the Pacific NW, as well as early growth stage companies across the US. Our areas of focus are Intelligent Applications with AI/ML, Software Infrastructure, Low-code & No-code, the Future of Work, the Digital Transformation of Consumer Experiences, and the Intersection of Machine Learning and Life Sciences. More here: https://www.madrona.com/madronas-investment-themes-for-2020-and-beyond/",3. Early Revenue; 4. Scaling; 2. Prototype; 1. Idea or Patent; 5. Growth,,1000000,10000000,$1M to $10M,USA,,538,fund/Madrona%20Venture%20Group,,,,,,
Greenlight Partners,TRUE,./images/funds/recLwhnlpgwSnh3F3.jpg,logos/Greenlight_Partners.jpg,https://www.linkedin.com/company/greenlightpartners/,https://greenlightpartners.nyc,,,Angel network,"New York, NY",,,,,,"We invest in early-stage startups primarily in North America, focused on sustainability, fintech, and SaaS.",3. Early Revenue; 4. Scaling; 2. Prototype; 1. Idea or Patent,,100000,300000,$100k to $300k,USA; Canada; UK,,538,fund/Greenlight%20Partners,,,,,,
Fink Family Foundation,FALSE,./images/funds/rec8ZDzQJAAD57H6m.jpg,logos/Fink_Family_Foundation.jpg,https://www.linkedin.com/company/the-betsy-and-jesse-fink-family-foundation/,http://www.thefinkfamilyfoundation.org/,We are focused on supporting sustainable and health-oriented initiatives.,,VC,"Westport, Connecticut, United States",,,,,,"We invest in innovative organizations that preserve natural resources, protect biodiversity, and promote human health.",3. Early Revenue; 4. Scaling,,,,,USA,,538,fund/Fink%20Family%20Foundation,,,,,,
Shor Capital,FALSE,./images/funds/reckUary3BLzld8g5.jpg,logos/Shor_Capital.jpg,https://www.linkedin.com/company/shorcapital,https://shorcapital.com/,We are a venture capital firm specializing in emerging businesses.,,VC,"Miami, Florida, Florida, US",,,,,,"We invest in early-stage technology companies, including apps, B2C consumer software, fintech, and advanced technology solutions.",2. Prototype; 3. Early Revenue,,,,,Israel; USA,,538,fund/Shor%20Capital,,,,,,
Robin Capital,FALSE,./images/funds/recTWYiMObl4oTxAl.jpg,logos/Robin_Capital.jpg,https://www.linkedin.com/company/robincapital/,https://robincap.com/,We focus on innovative solutions designed to solve significant challenges across various industries.,,VC,"Zionskirchstraße, Berlin, BE, Berlin, DE",,,,,,"We invest in software and tech solutions that address meaningful problems, maintaining a sector-agnostic approach.",3. Early Revenue,,,,,Germany,,538,fund/Robin%20Capital,,,,,,
Flintera,FALSE,./images/funds/recNVz9if7pJxGDNz.jpg,logos/Flintera.jpg,https://www.linkedin.com/company/flintera/,http://www.flintera.com,We are a private equity firm focused on medium-sized companies.,,PE fund,"Limassol, CY",,,,,,"We invest in B2B SaaS, privacy, and edtech companies.",4. Scaling,,,,,Netherlands,,538,fund/Flintera,,,,,,
